,Comprises,DailyScrum,Defines,Increment,Participates,Produces,ProductBacklog,ScrumTeam,Sprint,SprintBacklog,Triggers
BusinessCase,0.171,0.145,0.146,0.146,0.171,0.171,0.183,0.14,0.118,0.159,0.2
Comprises,1.0,0.208,0.333,0.167,0.333,0.333,0.134,0.113,0.167,0.155,0.333
Defines,0.333,0.163,1.0,0.143,0.25,0.25,0.118,0.101,0.143,0.134,0.25
EndStageReport,0.261,0.19,0.233,0.151,0.261,0.278,0.144,0.127,0.159,0.148,0.306
Oversees,0.167,0.117,0.143,0.111,0.167,0.167,0.095,0.083,0.111,0.106,0.167
Produces,0.333,0.208,0.25,0.167,0.333,1.0,0.146,0.113,0.167,0.167,0.333
ProjectBoard,0.292,0.193,0.267,0.155,0.292,0.292,0.163,0.139,0.155,0.149,0.292
ProjectPlan,0.292,0.194,0.267,0.155,0.292,0.292,0.159,0.122,0.155,0.144,0.292
StagePlan,0.225,0.169,0.183,0.143,0.225,0.25,0.153,0.119,0.155,0.144,0.292
Triggers,0.333,0.229,0.25,0.167,0.333,0.333,0.155,0.134,0.167,0.155,1.0
WorkPackage,0.238,0.171,0.229,0.146,0.238,0.238,0.307,0.129,0.133,0.186,0.267
